Date/Time,Whole Building:Total Building Electric Demand [W](TimeStep) 
 01/05  07:30:00,1512.038652
 01/05  07:45:00,1496.691284
 01/05  08:00:00,1492.920968
 01/05  08:15:00,1490.088553
 01/05  08:30:00,1515.922481
 01/05  08:45:00,1532.113583
 01/05  09:00:00,1536.824809
 01/05  09:15:00,1191.804781
 01/05  09:30:00,1440.748296
 01/05  09:45:00,1544.002031
 01/05  10:00:00,-1
 01/05  10:15:00,539.5472685
 01/05  10:30:00,1105.4124
 01/05  10:45:00,1123.065676
 01/05  11:00:00,1124.376885
 01/05  11:15:00,1126.44793
 01/05  11:30:00,1126.850437
 01/05  11:45:00,1127.004428
 01/05  12:00:00,1128.527456
 01/05  12:15:00,1120.306363
 01/05  12:30:00,1103.269734
 01/05  12:45:00,1096.974636
 01/05  13:00:00,1099.081527
 01/05  13:15:00,1107.606966
 01/05  13:30:00,1129.072434
 01/05  13:45:00,1129.501499
 01/05  14:00:00,1131.389212
 01/05  14:15:00,681.1550631
 01/05  14:30:00,865.0987164
 01/05  14:45:00,1135.518406
 01/05  15:00:00,193.6178487
 01/05  15:15:00,793.5435549
 01/05  15:30:00,-1
 01/05  15:45:00,1136.168328
 01/05  16:00:00,1137.499408
 01/05  16:15:00,0
 01/05  16:30:00,0
 01/05  16:45:00,758.0416527
 01/05  17:00:00,1143.602002
 01/05  17:15:00,1131.918092
 01/05  17:30:00,1112.014512
 01/05  17:45:00,1103.674755
 01/05  18:00:00,1107.390371
 01/05  18:15:00,1122.99946
 01/05  18:30:00,1129.065165
 01/05  18:45:00,1131.37773
 01/05  19:00:00,1132.098476
 01/05  19:15:00,868.3319115
 01/05  19:30:00,415.923147
 01/05  19:45:00,1139.29309
 01/05  20:00:00,1137.068753
 01/05  20:15:00,1136.659959
 01/05  20:30:00,1138.867308
 01/05  20:45:00,0
 01/05  21:00:00,907.4517687
 01/05  21:15:00,1130.505066
 01/05  21:30:00,1109.486439
 01/05  21:45:00,1099.662464
 01/05  22:00:00,1097.393385
 01/05  22:15:00,1102.167626
 01/05  22:30:00,1118.400433
 01/05  22:45:00,1125.665138
 01/05  23:00:00,1128.989559
 01/05  23:15:00,1130.38873
 01/05  23:30:00,1131.247541
 01/05  23:45:00,1130.961306
 01/05  24:00:00,1132.609229
 01/06  00:15:00,1132.835214
 01/06  00:30:00,1134.001394
 01/06  00:45:00,1132.877606
 01/06  01:00:00,800.9432514
 01/06  01:15:00,1136.565183
 01/06  01:30:00,1133.023937
 01/06  01:45:00,1132.739223
 01/06  02:00:00,1133.089392
 01/06  02:15:00,1133.37733
 01/06  02:30:00,1132.619127
 01/06  02:45:00,1133.11848
 01/06  03:00:00,1133.280456
 01/06  03:15:00,1133.19694
 01/06  03:30:00,1133.313949
 01/06  03:45:00,1133.18811
 01/06  04:00:00,-1
 01/06  04:15:00,1560.247365
 01/06  04:30:00,1551.962067
 01/06  04:45:00,1549.355614
 01/06  05:00:00,-1
 01/06  05:15:00,1555.234368
 01/06  05:30:00,1546.936075
 01/06  05:45:00,-1
 01/06  06:00:00,1124.239854
 01/06  06:15:00,1128.37121
 01/06  06:30:00,1129.513875
 01/06  06:45:00,1130.048586
 01/06  07:00:00,1131.205015
 01/06  07:15:00,1542.815125
 01/06  07:30:00,1511.796471
 01/06  07:45:00,1495.87295
 01/06  08:00:00,-1
 01/06  08:15:00,1086.130958
 01/06  08:30:00,1095.452721
 01/06  08:45:00,1113.832331
 01/06  09:00:00,976.8926277
 01/06  09:15:00,-1
 01/06  09:30:00,1553.434467
 01/06  09:45:00,-1
 01/06  10:00:00,1121.071162
 01/06  10:15:00,1124.470141
 01/06  10:30:00,1107.214851
 01/06  10:45:00,1093.765343
 01/06  11:00:00,1090.452246
 01/06  11:15:00,620.5915917
 01/06  11:30:00,-1
 01/06  11:45:00,1116.123826
 01/06  12:00:00,1122.306316
 01/06  12:15:00,1125.302729
 01/06  12:30:00,790.1107821
 01/06  12:45:00,-1
 01/06  13:00:00,1112.471357
 01/06  13:15:00,848.3650965
 01/06  13:30:00,0
 01/06  13:45:00,1011.961509
 01/06  14:00:00,793.4088177
 01/06  14:15:00,-1
 01/06  14:30:00,1140.179914
 01/06  14:45:00,532.5527349
 01/06  15:00:00,524.8960704
 01/06  15:15:00,1143.425048
 01/06  15:30:00,1139.855494
 01/06  15:45:00,270.1965951
 01/06  16:00:00,869.1638787
 01/06  16:15:00,1141.710312
 01/06  16:30:00,1140.72905
 01/06  16:45:00,-1
 01/06  17:00:00,1135.932354
 01/06  17:15:00,1023.696204
 01/06  17:30:00,-1
 01/06  17:45:00,1102.038451
 01/06  18:00:00,1114.628547
 01/06  18:15:00,1125.894007
 01/06  18:30:00,1129.283304
 01/06  18:45:00,1131.09698
 01/06  19:00:00,1131.662999
 01/06  19:15:00,1135.987081
 01/06  19:30:00,1136.574791
 01/06  19:45:00,1135.429142
 01/06  20:00:00,457.8078825
 01/06  20:15:00,827.5174965
 01/06  20:30:00,1139.129096
 01/06  20:45:00,1137.040061
 01/06  21:00:00,1137.240362
 01/06  21:15:00,1135.08306
 01/06  21:30:00,1132.936771
 01/06  21:45:00,1131.003138
 01/06  22:00:00,1131.782576
 01/06  22:15:00,1132.19555
 01/06  22:30:00,1132.637384
 01/06  22:45:00,1131.370143
 01/06  23:00:00,1131.97413
 01/06  23:15:00,1132.385628
 01/06  23:30:00,1131.44094
 01/06  23:45:00,1131.52793
 01/06  24:00:00,1132.164181
 01/07  00:15:00,796.9769631
 01/07  00:30:00,1564.33055
 01/07  00:45:00,1555.905644
 01/07  01:00:00,1548.87982
 01/07  01:15:00,1546.319079
 01/07  01:30:00,1545.168837
 01/07  01:45:00,-1
 01/07  02:00:00,1125.749961
 01/07  02:15:00,1127.764438
 01/07  02:30:00,1129.07225
 01/07  02:45:00,1130.602758
 01/07  03:00:00,1130.372365
 01/07  03:15:00,1130.676666
 01/07  03:30:00,1130.901336
 01/07  03:45:00,1130.919502
 01/07  04:00:00,1132.315477
 01/07  04:15:00,794.279691
 01/07  04:30:00,-1
 01/07  04:45:00,1557.257183
 01/07  05:00:00,1551.283619
 01/07  05:15:00,1547.428089
 01/07  05:30:00,1544.880893
 01/07  05:45:00,1122.273887
 01/07  06:00:00,1124.428215
 01/07  06:15:00,1127.949277
 01/07  06:30:00,1128.078123
 01/07  06:45:00,1129.439543
 01/07  07:00:00,1129.998447
 01/07  07:15:00,-1
 01/07  07:30:00,1557.649562
 01/07  07:45:00,1549.470747
 01/07  08:00:00,1547.373135
 01/07  08:15:00,-1
 01/07  08:30:00,825.2541171
 01/07  08:45:00,1125.474183
 01/07  09:00:00,1125.084497
 01/07  09:15:00,1126.623293
 01/07  09:30:00,1126.924401
 01/07  09:45:00,1558.658656
 01/07  10:00:00,1552.802577
 01/07  10:15:00,1547.292227
 01/07  10:30:00,-1
 01/07  10:45:00,1120.936375
 01/07  11:00:00,1126.5065
 01/07  11:15:00,1128.189346
 01/07  11:30:00,1129.866865
 01/07  11:45:00,1129.93853
 01/07  12:00:00,1131.062144
 01/07  12:15:00,1131.33376
 01/07  12:30:00,786.0643785
 01/07  12:45:00,1105.893541
 01/07  13:00:00,1097.14139
 01/07  13:15:00,1096.619131
 01/07  13:30:00,1121.420123
 01/07  13:45:00,1124.534511
 01/07  14:00:00,1126.728473
 01/07  14:15:00,1125.33391
 01/07  14:30:00,1126.804191
 01/07  14:45:00,1126.830884
 01/07  15:00:00,1127.820668
 01/07  15:15:00,1128.013956
 01/07  15:30:00,1127.642046
 01/07  15:45:00,1128.086372
 01/07  16:00:00,1128.536507
 01/07  16:15:00,1127.941641
 01/07  16:30:00,792.2419065
 01/07  16:45:00,1133.905776
 01/07  17:00:00,1129.760753
 01/07  17:15:00,1124.642813
 01/07  17:30:00,1558.218929
 01/07  17:45:00,1522.871639
 01/07  18:00:00,1501.317333
 01/07  18:15:00,1511.625382
 01/07  18:30:00,1531.509191
 01/07  18:45:00,1112.573867
 01/07  19:00:00,1117.003313
 01/07  19:15:00,1111.19219
 01/07  19:30:00,1123.219463
 01/07  19:45:00,1123.734921
 01/07  20:00:00,1125.408831
 01/07  20:15:00,1127.629597
 01/07  20:30:00,1088.092465
 01/07  20:45:00,831.2351067
 01/07  21:00:00,1130.295893
 01/07  21:15:00,1125.922197
 01/07  21:30:00,1108.254209
 01/07  21:45:00,1094.295139
 01/07  22:00:00,1090.526084
 01/07  22:15:00,1109.410264
 01/07  22:30:00,1117.539635
 01/07  22:45:00,1121.963174
 01/07  23:00:00,1122.773951
 01/07  23:15:00,1124.244963
 01/07  23:30:00,1125.486202
 01/07  23:45:00,1125.796506
 01/07  24:00:00,1125.129344
 01/08  00:15:00,1128.238701
